num_id,d_date,visits,orders,conversion_rate,revenue,repeat_buyers,traffic_source_etsy_app_and_other_pages,traffic_source_etsy_search,traffic_source_etsy_marketing_and_seo,traffic_source_direct_and_other_traffic,traffic_source_social_media,traffic_source_etsy_ads
100,2020-07-01,111,2,0.018,43.49,0,31,28,9,41,2,0
101,2020-08-01,558,6,0.011,105.00,1,293,100,14,86,16,49
102,2020-09-01,311,8,0.026,148.05,0,113,90,7,31,13,57
103,2020-10-01,683,31,0.045,562.70,4,291,142,2,70,15,163
104,2020-11-01,695,35,0.05,546.64,3,287,194,8,82,6,118
105,2020-12-01,448,22,0.049,307.42,2,149,105,11,92,35,56
106,2021-01-01,582,30,0.052,534.50,7,252,184,9,76,6,55
107,2021-02-01,665,24,0.036,494.40,3,337,175,11,95,26,21
108,2021-03-01,883,32,0.036,640.50,3,483,230,9,150,11,0
109,2021-04-01,659,29,0.044,660.94,4,274,205,5,174,1,0
110,2021-05-01,380,15,0.039,357.00,1,191,92,3,94,0,0
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
